Name,Age,Salary,Join Date,City
Richard,87,63463,2002-04-13,LA
Dana,53,99436,2004-09-13,
Theresa,45,93870,2019-02-08,Chicago
Kristin,30,70462,2021-12-27,Chicago
Kevin,91,92534,2001-07-14,Houston
Joshua,51,75929,2003-01-10,Chicago
Jason,93,61186,2008-06-20,NYC
Maurice,25,77070,2016-08-11,Houston
Jessica,86,82018,2021-03-16,Chicago
Randall,107,83020,2022-03-31,Houston
Henry,-3,83945,2008-04-16,Los Angeles
Leonard,113,91737,2022-09-03,NYC
Susan,,54772,2000-01-06,New York City
Matthew,110,53738,2006-04-11,LA
Patricia,56,79531,2023-05-02,
Brenda,9,88045,2021-04-12,Los Angeles
Kevin,17,86251,2011-10-10,LA
Luis,31,85121,2006-06-27,LA
Richard,75,94325,2006-02-14,New York City
Daniel,,77603,2002-02-11,New York City
Antonio,91,61204,2024-10-18,Los Angeles
Julia,24,80790,2010-03-19,NYC
Shawn,12,86572,2002-07-28,Chicago
Eric,15,78595,2022-07-28,New York City
Joann,32,70280,2001-01-11,Los Angeles
Kimberly,101,50571,2024-11-16,Chicago
Ryan,33,89304,2020-11-15,Houston
Jeremy,48,96443,2020-02-12,LA
James,116,69958,2019-09-22,NYC
Christopher,102,78000,2002-01-31,New York City
Bryan,100,58568,2005-01-29,NYC
Daniel,25,93116,2005-10-13,
John,,77813,2022-07-16,Chicago
Paul,88,76043,2010-04-13,Los Angeles
,72,54085,2019-06-04,New York City
Ryan,62,58336,2008-12-28,LA
Kathryn,106,62520,2008-03-28,Houston
Brittany,13,88495,2021-01-10,LA
William,101,83805,2021-04-16,New York City
Susan,20,68853,2008-09-13,LA
Charles,-2,66622,2012-08-11,
Stephen,12,71891,2008-07-05,Houston
Jacqueline,,93423,2010-08-28,
Alexis,32,95845,2013-02-11,Houston
,107,90152,2006-01-16,Los Angeles
Jeremy,10,93049,2020-07-05,Chicago
Christopher,109,65831,2022-03-21,
Jacqueline,30,62538,2014-09-22,LA
Peggy,54,96622,2014-08-30,Los Angeles
Carlos,11,68433,2019-09-12,
Erik,7,82393,2017-07-24,LA
Joseph,28,96361,2012-11-10,LA
Deborah,13,93725,2005-04-05,LA
John,84,76497,2019-01-19,LA
Gabriel,87,52935,2000-12-21,Los Angeles
Jason,35,67887,2023-12-18,NYC
Savannah,1,78047,2006-12-19,
Kevin,34,59709,2013-12-17,NYC
Steven,83,60853,2001-10-23,Houston
Julie,80,51806,2009-04-16,New York City
Daniel,0,56020,2020-01-30,Chicago
Joshua,,98365,2007-05-01,
Linda,87,96723,2022-03-14,
Emily,85,81573,2016-04-07,NYC
Daniel,26,50884,2003-10-15,LA
Sherry,120,80978,2001-06-25,NYC
Curtis,112,59232,2023-11-28,Houston
Adam,118,51864,2007-10-24,NYC
Ryan,16,72279,2019-04-23,NYC
Chad,43,76133,2012-05-08,Chicago
Jason,,93051,2016-07-24,NYC
Arthur,82,68822,2002-09-07,New York City
Robin,49,93361,2023-06-26,Chicago
David,,90547,2023-03-01,New York City
Kelly,24,92368,2015-08-06,New York City
Logan,30,53897,2020-04-14,NYC
Kimberly,49,77117,2002-08-24,Houston
,116,56255,2017-04-07,NYC
Kelly,86,52832,2018-10-02,New York City
Shawn,4,59644,2005-12-19,LA
,81,64700,2021-06-10,New York City
William,,72818,2015-02-23,New York City
Jennifer,78,61113,2014-10-20,NYC
Tracy,79,65499,2010-07-16,Los Angeles
Tami,9,51856,2021-10-09,Los Angeles
Lisa,-5,52174,2002-08-19,New York City
Joseph,49,54421,2014-06-13,
Thomas,101,88369,2009-08-10,Los Angeles
Michael,56,78115,2015-04-30,Los Angeles
Samuel,,53939,2005-07-30,LA
Brian,,94878,2019-01-26,Los Angeles
Tanya,115,70184,2008-05-09,LA
Christopher,47,51841,2018-09-22,LA
Cody,87,61449,2022-05-02,New York City
Michael,52,56836,2016-05-14,Chicago
Barbara,109,71321,2005-04-10,Los Angeles
Keith,57,54121,2022-03-24,LA
Melinda,-7,95008,2012-06-27,Houston
Christopher,66,64646,2017-04-21,Houston
Leah,17,82208,2017-08-15,New York City
Christopher,41,51028,2008-07-10,LA
Alexandria,92,59440,2004-11-20,
Joshua,,94835,2003-06-12,LA
Lindsey,21,98075,2011-07-13,Chicago
Gregory,108,80748,2020-08-15,Chicago
Melissa,14,74657,2017-11-12,Houston
Anne,,61412,2014-02-16,Los Angeles
Jeffrey,0,77924,2016-05-11,NYC
Andrew,35,76398,2017-07-16,New York City
Nicholas,27,85328,2022-02-16,New York City
Julie,60,65078,2017-01-28,Houston
Ashley,61,50869,2016-12-02,New York City
John,56,98592,2014-05-13,LA
Jared,-9,54135,2005-08-11,New York City
Laura,78,72781,2022-05-13,
Mark,2,95582,2010-10-28,Los Angeles
Anthony,99,89106,2003-01-11,NYC
Michelle,98,96664,2019-12-22,Chicago
Wendy,105,81178,2014-09-13,LA
Cynthia,17,99357,2000-10-02,LA
Madison,112,54828,2016-10-30,Chicago
Clayton,118,56629,2003-07-25,NYC
Joseph,,93273,2015-07-03,New York City
Sean,101,92086,2004-05-19,New York City
Adam,,66978,2011-06-22,Chicago
Kelly,89,70683,2006-03-22,Chicago
Meghan,85,68521,2014-07-25,NYC
Susan,5,79192,2012-03-12,
Katherine,-9,55206,2017-04-27,Los Angeles
Shannon,80,84530,2009-10-13,New York City
Cynthia,56,86016,2017-12-16,New York City
Melanie,84,67847,2007-09-02,LA
Stephanie,41,84898,2002-12-28,Los Angeles
Lori,,76401,2014-11-14,Houston
Patrick,92,83481,2020-11-12,Houston
Jill,44,61631,2013-09-03,Chicago
Kelly,52,92128,2022-10-17,Houston
Vanessa,109,66639,2019-10-23,Chicago
Stephanie,76,67322,2020-04-30,Los Angeles
Robert,108,80080,2009-07-19,Los Angeles
Lisa,118,91190,2004-06-12,Los Angeles
Stephen,68,81397,2019-09-19,Los Angeles
Denise,57,64653,2002-02-04,Chicago
Jaclyn,100,71826,2016-03-30,Chicago
Tyler,90,98836,2014-06-03,NYC
Kristy,24,73595,2013-05-21,NYC
Steven,118,76490,2000-03-31,Houston
Anthony,109,88535,2005-01-09,Chicago
Alexis,41,74635,2007-01-20,Houston
Jose,29,58751,2002-09-12,
Caitlin,10,84848,2020-03-28,Chicago
Allison,51,71775,2021-03-17,Los Angeles
Ashley,1,72313,2023-10-20,Houston
Francisco,,64059,2013-11-28,Chicago
Jeffrey,,93734,2000-05-25,Houston
Nicole,,67312,2017-01-31,New York City
Jason,80,83393,2005-01-09,New York City
Virginia,1,82862,2023-05-06,
Tyler,62,94237,2006-05-20,
Rachel,55,98581,2015-08-25,Los Angeles
Megan,34,79501,2021-04-21,Houston
Evan,96,72324,2002-11-19,New York City
Katie,21,85089,2005-03-15,
Eric,6,81513,2011-04-04,LA
Reginald,99,60876,2015-06-09,
Valerie,-6,81323,2014-07-12,NYC
Michael,110,91863,2020-12-16,NYC
Donna,,84670,2016-09-04,NYC
Shannon,,61776,2023-07-05,LA
Tammy,13,54266,2021-01-09,Chicago
Chelsea,54,65346,2003-05-13,Houston
Jessica,46,75771,2016-09-04,Chicago
Jacob,9,82955,2019-01-11,Houston
Ian,73,96978,2022-04-06,Chicago
Judy,117,64667,2008-06-30,Houston
James,,85232,2017-07-10,NYC
Mackenzie,26,93486,2023-04-15,Houston
Anthony,,91442,2004-12-13,Chicago
Tara,35,99274,2016-11-10,Chicago
David,71,87515,2019-10-04,LA
Regina,21,50948,2002-07-28,Houston
Shelley,,78109,2015-01-09,NYC
